"case","run","VB","time","DOC","feed","material","smcAC","smcDC","vib.table","vib.spindle","AE.table","AE_spindle","cutnumber"
2,10,0.31,45,0.75,0.5,1,0.126953125,1.40625,0.1025390625,0.286865234375,0.0970458984375,0.0970458984375,27
2,10,0.31,45,0.75,0.5,1,-0.0732421875,1.40625,0.10986328125,0.2880859375,0.0946044921875,0.0946044921875,27
2,10,0.31,45,0.75,0.5,1,-0.1123046875,1.4013671875,0.10009765625,0.284423828125,0.1055908203125,0.1055908203125,27
2,10,0.31,45,0.75,0.5,1,-0.25634765625,1.3916015625,0.107421875,0.283203125,0.0921630859375,0.0921630859375,27
2,10,0.31,45,0.75,0.5,1,-0.47119140625,1.3818359375,0.09765625,0.284423828125,0.1116943359375,0.1116943359375,27
2,10,0.31,45,0.75,0.5,1,-0.5078125,1.3671875,0.1123046875,0.2783203125,0.1104736328125,0.1104736328125,27
2,10,0.31,45,0.75,0.5,1,-0.537109375,1.3623046875,0.1123046875,0.279541015625,0.1171875,0.1171875,27
2,10,0.31,45,0.75,0.5,1,-0.615234375,1.357421875,0.10498046875,0.27099609375,0.106201171875,0.106201171875,27
2,10,0.31,45,0.75,0.5,1,-0.60546875,1.3671875,0.10986328125,0.2880859375,0.1031494140625,0.1031494140625,27
2,10,0.31,45,0.75,0.5,1,-0.595703125,1.376953125,0.10009765625,0.2783203125,0.091552734375,0.091552734375,27
2,10,0.31,45,0.75,0.5,1,-0.5615234375,1.38671875,0.10498046875,0.281982421875,0.081787109375,0.081787109375,27
2,10,0.31,45,0.75,0.5,1,-0.4150390625,1.4013671875,0.10498046875,0.286865234375,0.0994873046875,0.0994873046875,27
2,10,0.31,45,0.75,0.5,1,-0.15625,1.4111328125,0.11474609375,0.283203125,0.1019287109375,0.1019287109375,27
2,10,0.31,45,0.75,0.5,1,-0.21484375,1.4208984375,0.10498046875,0.291748046875,0.1068115234375,0.1068115234375,27
2,10,0.31,45,0.75,0.5,1,-0.05126953125,1.4208984375,0.10498046875,0.296630859375,0.1055908203125,0.1055908203125,27
2,10,0.31,45,0.75,0.5,1,0.05859375,1.416015625,0.1025390625,0.296630859375,0.1025390625,0.1025390625,27
2,10,0.31,45,0.75,0.5,1,0.23193359375,1.40625,0.09765625,0.306396484375,0.0909423828125,0.0909423828125,27
2,10,0.31,45,0.75,0.5,1,0.27099609375,1.40625,0.10498046875,0.29296875,0.084228515625,0.084228515625,27
2,10,0.31,45,0.75,0.5,1,0.2880859375,1.396484375,0.10009765625,0.291748046875,0.08056640625,0.08056640625,27
2,10,0.31,45,0.75,0.5,1,0.32470703125,1.396484375,0.1025390625,0.2783203125,0.098876953125,0.098876953125,27
2,10,0.31,45,0.75,0.5,1,0.25634765625,1.4013671875,0.1025390625,0.29541015625,0.0872802734375,0.0872802734375,27
2,10,0.31,45,0.75,0.5,1,0.21240234375,1.40625,0.10498046875,0.286865234375,0.1153564453125,0.1153564453125,27
2,10,0.31,45,0.75,0.5,1,0.10009765625,1.40625,0.10498046875,0.286865234375,0.10009765625,0.10009765625,27
2,10,0.31,45,0.75,0.5,1,-0.05615234375,1.40625,0.10498046875,0.2783203125,0.111083984375,0.111083984375,27
2,10,0.31,45,0.75,0.5,1,-0.17578125,1.40625,0.10986328125,0.283203125,0.093994140625,0.093994140625,27
2,10,0.31,45,0.75,0.5,1,-0.2294921875,1.3916015625,0.10009765625,0.284423828125,0.0927734375,0.0927734375,27
2,10,0.31,45,0.75,0.5,1,-0.45166015625,1.3818359375,0.107421875,0.294189453125,0.1007080078125,0.1007080078125,27
2,10,0.31,45,0.75,0.5,1,-0.5712890625,1.3671875,0.10009765625,0.2978515625,0.0897216796875,0.0897216796875,27
2,10,0.31,45,0.75,0.5,1,-0.56640625,1.3623046875,0.107421875,0.291748046875,0.113525390625,0.113525390625,27
2,10,0.31,45,0.75,0.5,1,-0.60791015625,1.3623046875,0.09765625,0.28564453125,0.108642578125,0.108642578125,27
2,10,0.31,45,0.75,0.5,1,-0.61279296875,1.3671875,0.107421875,0.30029296875,0.113525390625,0.113525390625,27
2,10,0.31,45,0.75,0.5,1,-0.6494140625,1.376953125,0.09765625,0.29541015625,0.101318359375,0.101318359375,27
2,10,0.31,45,0.75,0.5,1,-0.54443359375,1.3916015625,0.09765625,0.2880859375,0.0970458984375,0.0970458984375,27
2,10,0.31,45,0.75,0.5,1,-0.41748046875,1.40625,0.107421875,0.284423828125,0.101318359375,0.101318359375,27
2,10,0.31,45,0.75,0.5,1,-0.2294921875,1.416015625,0.10009765625,0.2880859375,0.0933837890625,0.0933837890625,27
2,10,0.31,45,0.75,0.5,1,-0.2197265625,1.4208984375,0.09521484375,0.2880859375,0.1019287109375,0.1019287109375,27
2,10,0.31,45,0.75,0.5,1,-0.00732421875,1.4208984375,0.1025390625,0.301513671875,0.101318359375,0.101318359375,27
2,10,0.31,45,0.75,0.5,1,0.18310546875,1.416015625,0.10498046875,0.2978515625,0.0933837890625,0.0933837890625,27
2,10,0.31,45,0.75,0.5,1,0.2392578125,1.4111328125,0.10009765625,0.301513671875,0.10498046875,0.10498046875,27
2,10,0.31,45,0.75,0.5,1,0.2978515625,1.40625,0.107421875,0.28564453125,0.091552734375,0.091552734375,27
2,10,0.31,45,0.75,0.5,1,0.263671875,1.4013671875,0.1025390625,0.279541015625,0.106201171875,0.106201171875,27
2,10,0.31,45,0.75,0.5,1,0.2880859375,1.40625,0.09765625,0.30517578125,0.0885009765625,0.0885009765625,27
2,10,0.31,45,0.75,0.5,1,0.3076171875,1.40625,0.1025390625,0.291748046875,0.09765625,0.09765625,27
2,10,0.31,45,0.75,0.5,1,0.2294921875,1.40625,0.1025390625,0.296630859375,0.0836181640625,0.0836181640625,27
2,10,0.31,45,0.75,0.5,1,0.0390625,1.4111328125,0.10498046875,0.283203125,0.079345703125,0.079345703125,27
2,10,0.31,45,0.75,0.5,1,-0.05859375,1.40625,0.10498046875,0.30517578125,0.09521484375,0.09521484375,27
2,10,0.31,45,0.75,0.5,1,-0.11962890625,1.40625,0.107421875,0.294189453125,0.0927734375,0.0927734375,27
2,10,0.31,45,0.75,0.5,1,-0.33203125,1.396484375,0.1025390625,0.28564453125,0.10498046875,0.10498046875,27
2,10,0.31,45,0.75,0.5,1,-0.43212890625,1.3818359375,0.10009765625,0.284423828125,0.0982666015625,0.0982666015625,27
2,10,0.31,45,0.75,0.5,1,-0.5517578125,1.3720703125,0.10498046875,0.284423828125,0.1031494140625,0.1031494140625,27
2,10,0.31,45,0.75,0.5,1,-0.59814453125,1.3623046875,0.09765625,0.29052734375,0.1025390625,0.1025390625,27
2,10,0.31,45,0.75,0.5,1,-0.6591796875,1.3623046875,0.10009765625,0.284423828125,0.096435546875,0.096435546875,27
2,10,0.31,45,0.75,0.5,1,-0.60546875,1.3671875,0.10009765625,0.283203125,0.0958251953125,0.0958251953125,27
2,10,0.31,45,0.75,0.5,1,-0.64697265625,1.376953125,0.107421875,0.277099609375,0.0897216796875,0.0897216796875,27
2,10,0.31,45,0.75,0.5,1,-0.55908203125,1.3916015625,0.10498046875,0.286865234375,0.0982666015625,0.0982666015625,27
2,10,0.31,45,0.75,0.5,1,-0.38818359375,1.40625,0.107421875,0.28076171875,0.1043701171875,0.1043701171875,27
2,10,0.31,45,0.75,0.5,1,-0.2734375,1.416015625,0.1025390625,0.303955078125,0.1080322265625,0.1080322265625,27
2,10,0.31,45,0.75,0.5,1,-0.15380859375,1.42578125,0.1025390625,0.289306640625,0.1141357421875,0.1141357421875,27
2,10,0.31,45,0.75,0.5,1,-0.1513671875,1.4208984375,0.107421875,0.294189453125,0.101318359375,0.101318359375,27
2,10,0.31,45,0.75,0.5,1,0.10009765625,1.4208984375,0.09765625,0.296630859375,0.091552734375,0.091552734375,27
2,10,0.31,45,0.75,0.5,1,0.18310546875,1.4111328125,0.1025390625,0.286865234375,0.0811767578125,0.0811767578125,27
2,10,0.31,45,0.75,0.5,1,0.2978515625,1.40625,0.1025390625,0.28076171875,0.0872802734375,0.0872802734375,27
2,10,0.31,45,0.75,0.5,1,0.3466796875,1.4013671875,0.10498046875,0.283203125,0.10009765625,0.10009765625,27
2,10,0.31,45,0.75,0.5,1,0.29541015625,1.4013671875,0.1025390625,0.283203125,0.093994140625,0.093994140625,27
2,10,0.31,45,0.75,0.5,1,0.25634765625,1.4013671875,0.1025390625,0.28564453125,0.10498046875,0.10498046875,27
2,10,0.31,45,0.75,0.5,1,0.224609375,1.40625,0.1025390625,0.286865234375,0.09765625,0.09765625,27
2,10,0.31,45,0.75,0.5,1,0.10498046875,1.40625,0.10009765625,0.289306640625,0.1007080078125,0.1007080078125,27
2,10,0.31,45,0.75,0.5,1,-0.10498046875,1.40625,0.10498046875,0.284423828125,0.0946044921875,0.0946044921875,27
2,10,0.31,45,0.75,0.5,1,-0.16357421875,1.4013671875,0.107421875,0.325927734375,0.0860595703125,0.0860595703125,27
2,10,0.31,45,0.75,0.5,1,-0.27587890625,1.3916015625,0.10986328125,0.301513671875,0.0946044921875,0.0946044921875,27
2,10,0.31,45,0.75,0.5,1,-0.53466796875,1.3818359375,0.1025390625,0.31005859375,0.08544921875,0.08544921875,27
2,10,0.31,45,0.75,0.5,1,-0.56396484375,1.3671875,0.10986328125,0.302734375,0.1080322265625,0.1080322265625,27
2,10,0.31,45,0.75,0.5,1,-0.6591796875,1.3671875,0.10986328125,0.299072265625,0.10498046875,0.10498046875,27
2,10,0.31,45,0.75,0.5,1,-0.70556640625,1.3623046875,0.10498046875,0.289306640625,0.1116943359375,0.1116943359375,27
